Date,Open,High,Low,Close,Adj Close,Volume
2021-08-02,0.812790,0.840047,0.801646,0.817776,0.817776,60873000
2021-08-03,0.817944,0.836636,0.790933,0.816772,0.816772,60751767
2021-08-04,0.818933,0.840902,0.802628,0.827781,0.827781,65385450
2021-08-05,0.828563,0.859534,0.813909,0.851273,0.851273,81805489
2021-08-06,0.850808,0.869105,0.823293,0.854019,0.854019,84440081
2021-08-07,0.855002,0.894614,0.846732,0.875499,0.875499,135880825
2021-08-08,0.876268,0.885387,0.817713,0.825421,0.825421,98505146
2021-08-09,0.825115,0.870794,0.804667,0.855411,0.855411,94570598
2021-08-10,0.856764,0.909009,0.838931,0.882651,0.882651,120886357
2021-08-11,0.883155,0.970307,0.878441,0.912203,0.912203,197509572
2021-08-12,0.912307,0.965392,0.855427,0.882887,0.882887,189841237
2021-08-13,0.884922,0.956126,0.872215,0.954636,0.954636,158827250
2021-08-14,0.954834,0.978982,0.914322,0.932215,0.932215,179265801
2021-08-15,0.932650,1.023643,0.925940,0.996451,0.996451,210688257
2021-08-16,0.995756,1.026813,0.937810,0.949383,0.949383,197756775
2021-08-17,0.945497,0.992729,0.881542,0.884725,0.884725,190876154
2021-08-18,0.883840,0.962762,0.855820,0.924821,0.924821,174784912
2021-08-19,0.922644,1.071433,0.913367,1.044498,1.044498,369264543
2021-08-20,1.044279,1.153408,1.039739,1.138164,1.138164,366283170
2021-08-21,1.138510,1.221736,1.094261,1.147098,1.147098,358551641
2021-08-22,1.149166,1.243796,1.122116,1.158165,1.158165,267624428
2021-08-23,1.158063,1.186826,1.110408,1.159325,1.159325,203668605
2021-08-24,1.159540,1.159708,1.016382,1.037633,1.037633,252498295
2021-08-25,1.040040,1.079667,1.001998,1.063080,1.063080,206911229
2021-08-26,1.065292,1.075627,0.975324,0.989957,0.989957,170261170
2021-08-27,0.990587,1.065107,0.961722,1.065107,1.065107,171164127
2021-08-28,1.066114,1.073236,1.023507,1.036796,1.036796,139083948
2021-08-29,1.038342,1.066791,1.000623,1.021523,1.021523,138083109
2021-08-30,1.022681,1.093534,0.978783,1.018990,1.018990,203189086
2021-08-31,1.019756,1.168318,1.004425,1.116988,1.116988,374694037
2021-09-01,1.115751,1.184634,1.080198,1.158855,1.158855,304393969
2021-09-02,1.158905,1.177718,1.126160,1.145885,1.145885,184582918
2021-09-03,1.145540,1.268932,1.110254,1.220743,1.220743,385617547
2021-09-04,1.218734,1.238598,1.192475,1.207556,1.207556,259993218
2021-09-05,1.208489,1.350057,1.183209,1.316672,1.316672,347343446
2021-09-06,1.314261,1.486014,1.295003,1.467940,1.467940,563500077
2021-09-07,1.462107,1.516561,1.042347,1.266267,1.266267,751895689
2021-09-08,1.267919,1.956287,1.234703,1.923749,1.923749,3367355549
2021-09-09,1.952146,2.481387,1.682159,2.312248,2.312248,4812069645
2021-09-10,2.300817,2.425273,1.848497,2.004593,2.004593,2596891056
2021-09-11,2.011204,2.283551,1.970102,1.983835,1.983835,1798923049
2021-09-12,1.994779,2.470806,1.911498,2.379480,2.379480,2164056922
2021-09-13,2.381145,2.544702,1.976941,2.157169,2.157169,2298346470
2021-09-14,2.163548,2.252638,1.988922,2.037281,2.037281,1149444799
2021-09-15,2.037329,2.085285,2.002210,2.015922,2.015922,727448265
2021-09-16,2.014629,2.221954,1.867661,2.039316,2.039316,1313291453
2021-09-17,2.039434,2.155976,1.900513,1.920465,1.920465,893672200
2021-09-18,1.921644,2.126689,1.896554,2.072211,2.072211,811391354
